region,datetime,weather,temperature,rainfall,wind_direction,wind_level,wind_speed,wind_angle,pressure,humidity,air_quality,visibility,cloud,dew_point,shortwave_radiation,所在市_norm,所在区_norm
福建/泉州/鲤城,2026-01-02 22:00:00,晴,3.9,0.0,未知,2,8,0,1000,73,50,10,1,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 22:00:00,晴,8.1,0.0,未知,2,8,0,1000,80,50,10,0,,0.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 22:00:00,晴,7.1,0.0,未知,2,8,0,1000,80,50,10,2,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 23:00:00,晴,7.8,0.0,未知,2,8,0,1000,81,50,10,0,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 23:00:00,晴,8.6,0.0,未知,2,8,0,1000,65,50,10,0,,0.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 23:00:00,晴,6.0,0.0,未知,2,8,0,1000,84,50,10,14,,0.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 23:00:00,晴,3.2,0.0,未知,2,8,0,1000,76,50,10,0,,0.0,泉州,鲤城
福建/泉州/鲤城,2026-01-03 00:00:00,晴,2.6,0.0,未知,2,8,0,1000,79,50,10,0,,0.0,泉州,鲤城
福建/莆田/城厢,2026-01-03 00:00:00,晴,8.4,0.0,未知,2,8,0,1000,64,50,10,0,,0.0,莆田,城厢
福建/宁德/蕉城,2026-01-03 00:00:00,多云,6.0,0.0,未知,2,8,0,1000,73,50,10,30,,0.0,宁德,蕉城
福建/福州/鼓楼,2026-01-03 00:00:00,晴,7.7,0.0,未知,2,8,0,1000,58,50,10,0,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-03 01:00:00,晴,2.0,0.0,未知,2,8,0,1000,83,50,10,1,,0.0,泉州,鲤城
福建/莆田/城厢,2026-01-03 01:00:00,晴,8.1,0.0,未知,2,8,0,1000,61,50,10,0,,0.0,莆田,城厢
